tag,des,des_2
DB00725,"Homatropine methylbromide is a quaternary ammonium muscarinic acetylcholine receptor antagonist belonging to the group of medicines called anti-muscarinics. Homatropine is used to treat duodenal or stomach ulcers or intestine problems. It can be used together with antacids or other medicine in the treatment of peptic ulcer. It may also be used to prevent nausea, vomiting, and motion sickness.","Used in conjunction with antacids or histamine H2-receptor antagonists in the treatment of peptic ulcers, gastric ulcers and duodenal ulcers, to reduce further gastric acid secretion and delay gastric emptying."
DB00726,"Tricyclic antidepressant similar to imipramine, but with more antihistaminic and sedative properties.","For the treatment of depression and depression accompanied by anxiety, agitation or sleep disturbance"
DB00727,"Nitroglycerin is a vasodilator drug used for the treatment of chest pain and high blood pressure.[T628,L4429] It was first approved in 2000 and is currently marketed by Pfizer, and other companies, depending on the dosage form.[T628,L4894] Nitroglycerin is available in various forms, including a spray form, sublingual tablet form, intravenous form, extended-release tablet form, and transdermal form.  A less commonly known fact is that in addition to treating angina, nitroglycerin is also used in an ointment to treat the pain that accompanies anal fissures. The rectal ointment form of nitroglycerin was approved by the FDA in 1955.[L7096]","The intravenous form is used off-label in emergency settings and is commonly used to treat acute coronary spasm caused by cocaine, hypertensive emergencies, as well as acute congestive heart failure exacerbations.[T628] Some other off-label uses of nitroglycerin include management of variceal hemorrhage[A180280], management of esophageal spasticity[A180283], and induction of uterine relaxation.[A180277]"
DB00728,"Rocuronium (rapid onset-curonium) is a desacetoxy analogue of vecuronium with a more rapid onset of action. It is an aminosteroid non-depolarizing neuromuscular blocker or muscle relaxant used in modern anaesthesia, to facilitate endotracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation. Introduced in 1994, rocuronium has rapid onset, and intermediate duration of action. It is commonly marketed under the trade names Zemuron and Esmeron. The drug is associated with the risk of developing allergic reactions in some high-risk patients, such as those with asthma. However, there was a similar incidence of allergic reactions associated with other non-depolarizing neuromuscular blocking agents. [Sugammadex] is a ¦Ã-cyclodextrin derivative that has been introduced as a novel agent to reverse the action of rocuronium.","For inpatients and outpatients as an adjunct to general anesthesia to facilitate both rapid sequence and routine tracheal intubation, and to provide skeletal muscle relaxation during surgery or mechanical ventilation."
DB00730,"2-Substituted benzimidazole first introduced in 1962. It is active against a variety of nematodes and is the drug of choice for strongyloidiasis. It has CNS side effects and hepatototoxic potential. (From Smith and Reynard, Textbook of Pharmacology, 1992, p919)","For the treatment of strongyloidiasis (threadworm), cutaneous larva migrans (creeping eruption), visceral larva migrans, and trichinosis."
DB00731,"Nateglinide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It belongs to the meglitinide class of short-acting insulin secretagogues, which act by binding to ¦Â cells of the pancreas to stimulate insulin release. Nateglinide is an amino acid derivative that induces an early insulin response to meals decreasing postprandial blood glucose levels. It should only be taken with meals and meal-time doses should be skipped with any skipped meal. Approximately one month of therapy is required before a decrease in fasting blood glucose is seen. Meglitnides may have a neutral effect on weight or cause a slight increase in weight. The average weight gain caused by meglitinides appears to be lower than that caused by sulfonylureas and insulin and appears to occur only in those na?ve to oral antidiabetic agents. Due to their mechanism of action, meglitinides may cause hypoglycemia although the risk is thought to be lower than that of sulfonylureas since their action is dependent on the presence of glucose. In addition to reducing postprandial and fasting blood glucose, meglitnides have been shown to decrease glycosylated hemoglobin (HbA1c) levels, which are reflective of the last 8-10 weeks of glucose control. Meglitinides appear to be more effective at lowering postprandial blood glucose than metformin, sulfonylureas and thiazolidinediones. Nateglinide is extensively metabolized in the liver and excreted in urine (83%) and feces (10%). The major metabolites possess less activity than the parent compound. One minor metabolite, the isoprene, has the same potency as its parent compound.",For the treatment of non-insulin dependent-diabetes mellitus in conjunction with diet and exercise.
DB00732,A non-depolarizing neuromuscular blocking agent with short duration of action. Its lack of significant cardiovascular effects and its lack of dependence on good kidney function for elimination provide clinical advantage over alternate non-depolarizing neuromuscular blocking agents.,"For use, as an adjunct to general anesthesia, to facilitate endotracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation."
DB00733,"Pralidoxime is an antidote to organophosphate pesticides and chemicals. Organophosphates bind to the esteratic site of acetylcholinesterase, which results initially in reversible inactivation of the enzyme. If given within 24 hours,after organophosphate exposure, pralidoxime reactivates the enzyme cholinesterase by cleaving the phosphate-ester bond formed between the organophosphate and acetylcholinesterase.",For the treatment of poisoning due to those pesticides and chemicals of the organophosphate class which have anticholinesterase activity and in the control of overdosage by anticholinesterase drugs used in the treatment of myasthenia gravis.
DB00734,"Risperidone binds with a very high affinity to 5-HT2A receptors, approximately 10-20 fold greater than the drug's binding affinity to D2 receptors.[L1212, L1213, A1115]","Risperidone is also used off-label for a number of conditions including as an adjunct to antidepressants in treatment-resistant depression,[A177226] "
DB00735,"Naftifine is a synthetic, broad spectrum, antifungal agent and allylamine derivative for the topical treatment of tinea pedis, tinea cruris, and tinea corporis caused by the organisms Trichophyton rubrum, Trichophyton mentagrophytes, Trichophyton tonsurans and Epidermophyton floccosum.",.
DB00736,"Rapid discontinuation of PPIs such as esomeprazole may cause a rebound effect and a short term increase in hypersecretion.[A177574] Esomeprazole doses should be slowly lowered, or tapered, before discontinuing to prevent this rebound effect.","Esomeprazole is indicated for the treatment of acid-reflux disorders including healing and maintenance of erosive esophagitis, and symptomatic gastroesophageal reflux disease (GERD), peptic ulcer disease, H. pylori eradication, prevention of gastrointestinal bleeds with NSAID use, and for the long-term treatment of pathological hypersecretory conditions including Zollinger-Ellison Syndrome. "
